,Cyanobacteria,Chlorophyceae,Euglenophyceae,Diatomophyceae,Flagellata   ,Dinoflagellata ,Cryptophytes,picophytoplankton,Bosmina longirostris,Ceriodaphnia sp.,Diaphanosoma brachyurum ,Leptodora kindtii,Acartia longiremis,Acartia tonsa,Eurytemora affinis,Cyclops sp. ,Nauplii Cyclopoida,Nauplii Calanoida,Thermocyclops oithonoides,Eurytemora lacustris,Anureopsis fissa,Ascomorpha saltans,Asplanchna priodonta,Brachionus angularis,Brachionus calyciflorus calyciflorus,Brachionus calyciflorus f.amphiceros,Brachionus calyciflorus spinosus,Brachionus urceolaris,Brachionus calyciflorus f.anureiformis,Filinia longiseta,Keratella cochlearis cochlearis,Keratella cochlearis f.tecta,Keratella quadrata,Pedalia mira,Polyarthra vulgaris,Polyarthra platyptera,Pompholyx sp.,Synchaeta sp.,Trichocerca pusilla,Trichocerca similis
17.06.2008_3,10.8,1.64,0.29,0.23,0,0,0,2.49,0,0,0,0,0.0539,0.0207,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0.0426,0.027,0.0186,0,0,0,0,0,0,0.0028,0.0027
17.06.2008_4,4.91,2.84,0.09,2,0,0,0,3.04,0,0,0,0,0,0,0,0.4273,0.0459,0.0362,0,0,0,0,0.4763,0.1103,0.0974,0,0,0,0,0.1796,0.3306,0.2084,0,0,0,0,0.0167,0,0.0099,0.0103
17.06.2008_5,6.62,2.03,0,1.39,1.65,0,0,0.81,0,0,0,0,0,0,0,2.8985,0.0951,0,0,0,0,0,0.2317,0.0599,0,0,0,0,0,0.0298,0.1502,0.1343,0.0159,0,0,0,0.0058,0,0.0112,0.0021
17.06.2008_6,3.37,2.67,0,0.25,0.25,0,0,2.58,0,0,0,0,0,0,0.0039,0,0.0027,0.0028,0,0,0,0,0,0,0,0,0,0,0,0.0272,0.007,0.0054,0,0,0,0,0,0,0,0
17.06.2008_7,7.36,6.58,0,0.47,0.22,0,0,2.28,0,0,0,0,0,0,0.0336,0,0.0136,0.0048,0.0118,0,0,0,0.0101,0.0005,0,0,0,0,0,0.0067,0.0046,0.0022,0,0,0,0,0,0.0015,0,0
17.06.2008_8,3.52,5.04,0,0.3,0.23,0,0,4.05,0,0,0,0,0,0,0.014,0,0.0098,0.0007,0.0114,0,0,0,0,0.002,0,0,0,0,0,0.0444,0.0158,0.005,0,0,0,0,0.0001,0,0,0
15.07.2008_3,11.71,5.2,0.01,0.29,0.21,0,0,3.14,0,0,1.4737,0,4.9312,5.8227,1.379,0,0.0407,0.1763,0,0,0,0,0,0,0,0,0,0,0,0.0141,0.6028,0.0641,0,0,0.4745,0.8874,0,0,0.0058,0
15.07.2008_4,3.01,5.36,0.07,0.92,0.11,0,0,1.44,0,0,0,0,0.6201,0,0.6945,11.0414,0.09,0.1005,0,0,0,0,0,0.006,0,0,0,0,0,0.0122,0.6068,0.1524,0,0,0.08,0.0147,0,0,0.0029,0
15.07.2008_5,7.95,3.86,0,1.28,0.1,0,0,1.67,0,0,0,0,1.5798,0,0,6.2014,0.0814,0.0679,0,0,0,0,0,0.0203,0,0,0,0,0,0.011,0.5757,0.1002,0,0,0.0862,0.0203,0,0,0.0066,0
15.07.2008_6,4.18,14.33,0,0.06,0.24,0,0,2.33,0,0,0,0.0007,0.0466,0.1586,0,0.0089,0.0014,0.0012,0,0,0,0,0,0,0,0,0,0,0,0.001,0.0067,0.0002,0,0,0,0,0,0,0,0
15.07.2008_7,5.4,12.19,0.12,0.43,0.38,0,0,4.43,0,0,0,0,0.0987,0.0003,0.0349,0,0.0394,0.0122,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0398,0.0043,0,0,0,0,0,0,0,0
15.07.2008_8,7.27,5.7,0,0.46,0.07,0,0,1.77,0,0,0,0,0.0138,0.3833,0,0.0147,0.0042,0.0024,0.024,0,0,0,0,0,0,0,0,0,0,0.0013,0.0148,0.0018,0,0,0,0,0,0,0,0
12.08.2008_3,10.99,3.93,0,0.59,0.47,0,0,0.79,0,0,6.0829,0,0.584,0.7916,3.2915,1.3444,0.1232,0.1298,0,0,0,0,0,0,0,0,0,0,0,0.0157,2.8497,0.269,0,0,0.0538,0.0402,0,0,0,0
12.08.2008_4,4.8,5.36,0,0.42,0.32,0,0,0.44,0,0,19.2916,0,0.4142,0,0.3635,3.7957,0.4281,0.0768,0,0,0,0,0,0,0,0,0,0,0,0.0403,2.1543,0.1629,0,0,0.0348,0.0724,0,0,0.0025,0
12.08.2008_5,7.43,6.11,0,3.04,1.48,0,0,0.95,0,0,10.3846,0,0.1347,0,7.1551,11.5796,0.0748,0.1169,0,0,0,0,0,0,0,0,0,0,0,0.0677,2.8507,0.2252,0,0,0.021,0.0857,0,0,0,0
19.08.2008_3,10.53,3.93,0,0.59,0.47,0,0,2.05,0,0,20.1422,0,3.6364,2.5166,3.6417,1.8175,0.0714,0.4316,0,0,0,0,0,0,0,0,0,0,0,0.1844,2.9542,0.1891,0,0,0.0971,0.0027,0,0,0.0058,0
19.08.2008_4,4.1,5.36,0,0.42,0.32,0,0,1.59,0,0,4.9807,0,1.3078,0,3.4523,3.982,0.2523,0.3029,0,0,0,0,0,0,0,0,0,0,0,0.0676,1.9896,0.251,0,0,0.0852,0,0,0,0.0016,0
